"Gene.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
"Os01g0609300",92294.5530866388,9.62414832682394,0.256070839166685,37.5839293460481,0,0,"OsPDR9"
"Os08g0482600",16300.4091443829,11.6879470863137,0.338266430725245,34.5524888805983,1.30781597332829e-261,1.51235839155684e-257,"OsUCL29"
"Os07g0418500",7591.61926721096,10.1270654683654,0.349021780104889,29.0155687857703,4.18630319189603e-185,3.22736067407238e-181,"OsCYP709C9"
"Os02g0806600",9601.03431482331,6.0024450666037,0.214351298221472,28.0028398073981,1.5004256957481e-172,8.67546137281552e-169,""
"Os08g0137900",20111.0305656167,12.3684331399782,0.453003746447351,27.3031586095628,3.89070156977186e-164,1.79968291811367e-160,"OsUCL25"
"Os04g0497000",4923.91707156524,10.1142894497166,0.374448377230935,27.0111718056098,1.0925406730544e-160,4.21138011440035e-157,"OsNADPH1"
"Os01g0975000",3342.55268219707,9.7625502753592,0.362320738240507,26.9444976370049,6.61735190721998e-160,2.18637307014548e-156,"OsDSR3"
"Os02g0605900",9501.98540174768,11.6696351369157,0.446827802960253,26.1166271651045,2.36040311522937e-150,6.82392540612811e-147,"Cht6"
"Os11g0213700",2271.27965837089,7.11499661602617,0.274760306487382,25.8952856290867,7.52587298924715e-148,1.93398211661453e-144,""
"Os10g0568900",3501.80599185394,6.79540989541839,0.268225542817162,25.3346859663195,1.32554517395467e-141,3.06572087832235e-138,""
